,team,ranking,continent,games,wins,draws,losses,goalsFor,goalsAgainst,yellowCards,redCards
0,Brazil,1,South America,5,3,1,1,9,4,7,2
1,Spain,2,Europe,6,5,0,1,7,2,3,0
2,Portugal,3,Europe,4,1,2,1,7,1,8,1
3,Netherlands,4,Europe,6,6,0,0,12,5,15,0
4,Italy,5,Europe,3,0,2,1,4,5,5,0
5,Germany,6,Europe,6,4,0,2,13,3,8,1
6,Argentina,7,South America,5,4,0,1,10,6,7,0
7,England,8,Europe,4,1,2,1,3,5,6,0
8,France,9,Europe,3,0,1,2,1,4,6,1
9,Greece,13,Europe,3,1,0,2,2,5,5,0
10,USA,14,North America,4,1,2,1,5,5,9,0
11,Serbia,15,Europe,3,1,0,2,2,3,8,1
12,Uruguay,16,South America,6,3,2,1,9,5,8,2
13,Mexico,17,South America,4,1,1,2,4,5,9,0
14,Chile,18,South America,4,2,0,2,3,5,13,1
15,Cameroon,19,Africa,3,0,0,3,2,5,5,0
16,Australia,20,Australia,3,1,1,1,3,6,7,2
17,Nigeria,21,Africa,3,0,1,2,3,5,5,1
18,Switzerland,24,Europe,3,1,1,1,1,1,8,1
19,Slovenia,25,Europe,3,1,1,1,3,3,9,0
20,Ivory Coast,27,Africa,3,1,1,1,4,3,5,0
21,Algeria,30,Africa,3,0,1,2,0,2,4,2
22,Paraguay,31,South America,5,1,3,1,3,2,9,0
23,Ghana,32,Africa,5,2,2,1,5,4,11,0
24,Slovakia,34,Europe,4,1,1,2,5,7,11,0
25,Denmark,36,Europe,3,1,0,2,3,6,6,0
26,Honduras,38,South America,3,0,1,2,0,3,7,0
27,Japan,45,Asia,4,2,1,1,4,2,7,0
28,South Korea,47,Asia,4,1,1,2,6,8,6,0
29,New Zealand,78,Australia,3,0,3,0,2,2,6,0
30,South Africa,83,Africa,3,1,1,1,3,5,4,1
31,North Korea,105,Asia,3,0,0,3,1,12,2,0
